Provider State,Average Covered Charges
Utah,$21084.42
Utah,$18190.94
Utah,$23567.36
Vermont,$17934.35
Virginia,$14720.40
Virginia,$12007.86
Virginia,$26349.78
Virginia,$32196.10
Virginia,$35318.41
Virginia,$24476.09
Virginia,$13721.37
Virginia,$19683.07
Virginia,$18347.33
Virginia,$17168.14
Virginia,$21798.71
Virginia,$21204.00
Virginia,$26217.58
Virginia,$44097.56
Virginia,$23402.95
Virginia,$24251.58
Virginia,$23819.03
Virginia,$18623.30
Virginia,$22555.11
Virginia,$32336.18
Virginia,$34409.72
Virginia,$18475.63
Virginia,$25714.64
Virginia,$12292.50
Virginia,$36241.85
Virginia,$72547.03
Virginia,$66232.43
Virginia,$21281.36
Washington,$16989.61
Washington,$32560.61
Washington,$34694.24
Washington,$13720.90
Washington,$35711.18
Washington,$31339.68
Washington,$33870.47
Washington,$22794.33
Washington,$16229.61
Washington,$36202.82
Washington,$35073.70
Washington,$34394.50
Washington,$24376.68
Washington,$24929.33
Washington,$19873.24
Washington,$26328.21
Washington,$64970.25
Washington,$16016.44
Washington,$53322.26
Washington,$37158.68
Washington,$46271.82
West Virginia,$11209.84
West Virginia,$15844.75
West Virginia,$18763.15
West Virginia,$24368.69
West Virginia,$11610.65
West Virginia,$11842.35
West Virginia,$11351.03
West Virginia,$20866.46
Wisconsin,$23491.19
Wisconsin,$27239.33
Wisconsin,$35808.85
Wisconsin,$27723.54
Wisconsin,$26927.64
Wisconsin,$20407.61
Wisconsin,$18961.93
Wisconsin,$15987.91
Wisconsin,$17947.82
Wisconsin,$25960.53
Wisconsin,$34971.68
Wisconsin,$26436.95
Wisconsin,$23181.19
Wisconsin,$27133.58
Wisconsin,$18466.98
Wisconsin,$19126.42
Wisconsin,$24725.90
Wisconsin,$30381.65
Wisconsin,$36295.07
Wisconsin,$24974.90
Wisconsin,$28618.38
Wisconsin,$25085.68
Wisconsin,$14993.54
Wisconsin,$24061.26
Wisconsin,$15153.50
Wyoming,$25716.85
Wyoming,$28266.43
Texas,$53629.38
Texas,$20473.45
Alabama,$20312.78
Alabama,$22074.08
Alabama,$21452.70
Alabama,$20397.52
Alabama,$10701.64
Alabama,$35213.76
Alabama,$16587.27
Alabama,$21577.61
Alabama,$26144.21
Alabama,$32279.00
Alabama,$29284.90
Alabama,$21597.46
Alabama,$30142.25
Alabama,$16074.66
Alabama,$24654.36
Alabama,$24224.41
Alabama,$8569.91
Alabama,$12261.76
Alabama,$19780.81
Alabama,$58523.00
